Wavenumber	Reflectance
2617.59	0.34004
2615.66	0.33909
2613.73	0.33816
2611.80	0.33757
2609.88	0.33714
2607.95	0.33672
2606.02	0.33610
2604.09	0.33554
2602.16	0.33489
2600.23	0.33442
2598.30	0.33416
2596.37	0.33361
2594.45	0.33290
2592.52	0.33244
2590.59	0.33198
2588.66	0.33162
2586.73	0.33153
2584.80	0.33122
2582.87	0.33048
2580.94	0.32997
2579.01	0.32961
2577.08	0.32899
2575.15	0.32837
2573.23	0.32793
2571.30	0.32735
2569.37	0.32684
2567.44	0.32631
2565.51	0.32582
2563.58	0.32532
2561.65	0.32500
2559.72	0.32460
2557.79	0.32395
2555.87	0.32327
2553.94	0.32291
2552.01	0.32221
2550.08	0.32133
2548.15	0.32042
2546.22	0.31978
2544.29	0.31937
2542.36	0.31892
2540.43	0.31824
2538.50	0.31746
2536.58	0.31690
2534.65	0.31638
2532.72	0.31555
2530.79	0.31480
2528.86	0.31399
2526.93	0.31305
2525.00	0.31222
2523.07	0.31147
2521.14	0.31050
2519.22	0.30941
2517.29	0.30806
2515.36	0.30693
2513.43	0.30595
2511.50	0.30482
2509.57	0.30367
2507.64	0.30246
2505.71	0.30125
2503.78	0.30014
2501.85	0.29870
2499.93	0.29723
2498.00	0.29595
2496.07	0.29516
2494.14	0.29443
2492.21	0.29375
2490.28	0.29330
2488.35	0.29290
2486.42	0.29251
2484.49	0.29214
2482.57	0.29202
2480.64	0.29217
2478.71	0.29222
2476.78	0.29243
2474.85	0.29246
2472.92	0.29251
2470.99	0.29255
2469.06	0.29270
2467.13	0.29293
2465.20	0.29289
2463.28	0.29252
2461.35	0.29195
2459.42	0.29174
2457.49	0.29165
2455.56	0.29120
2453.63	0.29073
2451.70	0.29016
2449.77	0.28953
2447.84	0.28895
2445.92	0.28847
2443.99	0.28778
2442.06	0.28683
2440.13	0.28609
2438.20	0.28560
2436.27	0.28492
2434.34	0.28416
2432.41	0.28335
2430.48	0.28267
2428.56	0.28209
2426.63	0.28148
2424.70	0.28059
2422.77	0.27977
2420.84	0.27912
2418.91	0.27857
2416.98	0.27759
2415.05	0.27648
2413.12	0.27557
2411.19	0.27492
2409.27	0.27425
2407.34	0.27362
2405.41	0.27283
2403.48	0.27190
2401.55	0.27104
2399.62	0.27046
2397.69	0.26956
2395.76	0.26845
2393.83	0.26756
2391.90	0.26684
2389.98	0.26603
2388.05	0.26518
2386.12	0.26439
2384.19	0.26365
2382.26	0.26308
2380.33	0.26278
2378.40	0.26233
2376.47	0.26193
2374.54	0.26163
2372.61	0.26140
2370.69	0.26091
2368.76	0.26053
2366.83	0.26048
2364.90	0.26043
2362.97	0.25984
2361.04	0.25892
2359.11	0.25792
2357.18	0.25678
2355.25	0.25549
2353.32	0.25395
2351.40	0.25224
2349.47	0.25099
2347.54	0.25041
2345.61	0.25049
2343.68	0.25024
2341.75	0.24971
2339.82	0.24898
2337.89	0.24831
2335.97	0.24781
2334.04	0.24661
2332.11	0.24530
2330.18	0.24453
2328.25	0.24359
2326.32	0.24279
2324.39	0.24192
2322.46	0.24085
2320.53	0.23993
2318.60	0.23892
2316.68	0.23775
2314.75	0.23676
2312.82	0.23564
2310.89	0.23461
2308.96	0.23383
2307.03	0.23305
2305.10	0.23224
2303.17	0.23124
2301.24	0.23013
2299.31	0.22921
2297.39	0.22842
2295.46	0.22770
2293.53	0.22704
2291.60	0.22615
2289.67	0.22498
2287.74	0.22414
2285.81	0.22348
2283.88	0.22274
2281.95	0.22177
2280.02	0.22076
2278.10	0.22007
2276.17	0.21940
2274.24	0.21868
2272.31	0.21822
2270.38	0.21771
2268.45	0.21685
2266.52	0.21590
2264.59	0.21533
2262.66	0.21459
2260.74	0.21365
2258.81	0.21293
2256.88	0.21232
2254.95	0.21162
2253.02	0.21095
2251.09	0.21019
2249.16	0.20919
2247.23	0.20821
2245.30	0.20761
2243.37	0.20708
2241.45	0.20642
2239.52	0.20570
2237.59	0.20505
2235.66	0.20422
2233.73	0.20341
2231.80	0.20271
2229.87	0.20191
2227.94	0.20096
2226.01	0.20020
2224.09	0.19954
2222.16	0.19910
2220.23	0.19838
2218.30	0.19756
2216.37	0.19681
2214.44	0.19579
2212.51	0.19498
2210.58	0.19444
2208.65	0.19367
2206.72	0.19288
2204.80	0.19220
2202.87	0.19157
2200.94	0.19072
2199.01	0.19029
2197.08	0.18957
2195.15	0.18833
2193.22	0.18740
2191.29	0.18687
2189.36	0.18608
2187.43	0.18527
2185.51	0.18453
2183.58	0.18380
2181.65	0.18312
2179.72	0.18240
2177.79	0.18169
2175.86	0.18085
2173.93	0.17997
2172.00	0.17946
2170.07	0.17885
2168.15	0.17800
2166.22	0.17713
2164.29	0.17642
2162.36	0.17598
2160.43	0.17550
2158.50	0.17479
2156.57	0.17417
2154.64	0.17360
2152.71	0.17282
2150.78	0.17214
2148.86	0.17193
2146.93	0.17138
2145.00	0.17076
2143.07	0.17014
2141.14	0.16918
2139.21	0.16839
2137.28	0.16804
2135.35	0.16752
2133.42	0.16677
2131.50	0.16596
2129.57	0.16536
2127.64	0.16470
2125.71	0.16393
2123.78	0.16334
2121.85	0.16291
2119.92	0.16226
2117.99	0.16144
2116.06	0.16044
2114.14	0.15969
2112.21	0.15904
2110.28	0.15835
2108.35	0.15756
2106.42	0.15672
2104.49	0.15597
2102.56	0.15544
2100.63	0.15463
2098.70	0.15382
2096.77	0.15289
2094.84	0.15159
2092.92	0.15034
2090.99	0.14945
2089.06	0.14846
2087.13	0.14730
2085.20	0.14585
2083.27	0.14464
2081.34	0.14341
2079.41	0.14205
2077.48	0.14057
2075.56	0.13917
2073.63	0.13778
2071.70	0.13613
2069.77	0.13419
2067.84	0.13224
2065.91	0.13004
2063.98	0.12754
2062.05	0.12485
2060.12	0.12187
2058.19	0.11873
2056.27	0.11522
2054.34	0.11093
2052.41	0.10648
2050.48	0.10205
2048.55	0.09744
2046.62	0.09311
2044.69	0.08922
2042.76	0.08551
2040.83	0.08207
2038.91	0.07928
2036.98	0.07678
2035.05	0.07444
2033.12	0.07236
2031.19	0.07021
2029.26	0.06830
2027.33	0.06679
2025.40	0.06538
2023.47	0.06417
2021.55	0.06333
2019.62	0.06313
2017.69	0.06348
2015.76	0.06391
2013.83	0.06443
2011.90	0.06509
2009.97	0.06596
2008.04	0.06658
2006.11	0.06714
2004.18	0.06769
2002.26	0.06806
2000.33	0.06828
1998.40	0.06877
1996.47	0.06939
