Wavenumber	Reflectance									
2876.071765	0.46150									
2874.14292	0.46144									
2872.213856	0.46184									
2870.284908	0.46251									
2868.356739	0.46324									
2866.427626	0.46417									
2864.498808	0.46477									
2862.569799	0.46524									
2860.640931	0.46604									
2858.7118	0.46711									
2856.783066	0.46804									
2854.853917	0.46898									
2852.924523	0.46991									
2850.995541	0.47105									
2849.06673	0.47251									
2847.137771	0.47372									
2845.208751	0.47472									
2843.279837	0.47592									
2841.350792	0.47752									
2839.421863	0.47905									
2837.492734	0.48046									
2835.563731	0.48166									
2833.63478	0.48286									
2831.705806	0.48393									
2829.776813	0.48473									
2827.847968	0.48533									
2825.918876	0.48619									
2823.989941	0.48699									
2822.061807	0.48746									
2820.132804	0.48780									
2818.203816	0.48813									
2816.274847	0.48853									
2814.345982	0.48886									
2812.41699	0.48933									
2810.488033	0.48973									
2808.559039	0.49000									
2806.629855	0.49020									
2804.700881	0.49046									
2802.771964	0.49060									
2800.84311	0.49087									
2798.914089	0.49107									
2796.985063	0.49153									
2795.056116	0.49187									
2793.127253	0.49213									
2791.197701	0.49253									
2789.268713	0.49287									
2787.339824	0.49313									
2785.410887	0.49313									
2783.481983	0.49333									
2781.552963	0.49373									
2779.624066	0.49393									
2777.695064	0.49414									
2775.766581	0.49420									
2773.837618	0.49440									
2771.908723	0.49454									
2769.979823	0.49467									
2768.050847	0.49487									
2766.121802	0.49527									
2764.192921	0.49540									
2762.26383	0.49547									
2760.334686	0.49554									
2758.405724	0.49554									
2756.476873	0.49567									
2754.547834	0.49580									
2752.618993	0.49600									
2750.689901	0.49607									
2748.761092	0.49627									
2746.832044	0.49647									
2744.902613	0.49647									
2742.973633	0.49660									
2741.044658	0.49687									
2739.115692	0.49700									
2737.186743	0.49700									
2735.257815	0.49700									
2733.32884	0.49707									
2731.399823	0.49720									
2729.471664	0.49740									
2727.542804	0.49761									
2725.613844	0.49767									
2723.684718	0.49761									
2721.755951	0.49761									
2719.82688	0.49781									
2717.89803	0.49807									
2715.968963	0.49807									
2714.039834	0.49794									
2712.110795	0.49787									
2710.181852	0.49801									
2708.252864	0.49821									
2706.324057	0.49814									
2704.394923	0.49821									
2702.465981	0.49834									
2700.537018	0.49861									
2698.607675	0.49867									
2696.678687	0.49867									
2694.74984	0.49867									
2692.820778	0.49861									
2690.891942	0.49854									
2688.962902	0.49867									
2687.033882	0.49887									
2685.105032	0.49881									
2683.176718	0.49867									
2681.247721	0.49861									
2679.318839	0.49874									
2677.389935	0.49894									
2675.460871	0.49907									
2673.53194	0.49887									
2671.603005	0.49867									
2669.674001	0.49887									
2667.74472	0.49881									
2665.815667	0.49867									
2663.886706	0.49861									
2661.957841	0.49861									
2660.028866	0.49854									
2658.099859	0.49861									
2656.170896	0.49847									
2654.241983	0.49847									
2652.313759	0.49841									
2650.384682	0.49834									
2648.455744	0.49801									
2646.526949	0.49774									
2644.597885	0.49767									
2642.668907	0.49767									
2640.740022	0.49754									
2638.810956	0.49720									
2636.881925	0.49674									
2634.952866	0.49620									
2633.023993	0.49567									
2631.094964	0.49500									
2629.165996	0.49420									
2627.237023	0.49360									
2625.308054	0.49293									
2623.379162	0.49233									
2621.449666	0.49167									
2619.520742	0.49087									
2617.591845	0.49000									
2615.662845	0.48933									
2613.733886	0.48866									
2611.804904	0.48786									
2609.875974	0.48699									
2607.946967	0.48626									
2606.018704	0.48539									
2604.089765	0.48466									
2602.160902	0.48413									
2600.231852	0.48373									
2598.302892	0.48346									
2596.373961	0.48319									
2594.445132	0.48292									
2592.516075	0.48259									
2590.586596	0.48246									
2588.657708	0.48226									
2586.72868	0.48186									
2584.799785	0.48186									
2582.870829	0.48186									
2580.941953	0.48172									
2579.012962	0.48159									
2577.084063	0.48139									
2575.154798	0.48119									
2573.225771	0.48119									
2571.296789	0.48092									
2569.367924	0.48079									
2567.438918	0.48066									
2565.509977	0.48052									
2563.581105	0.48026									
2561.65218	0.48006									
2559.723599	0.47979									
2557.794714	0.47965									
